Date,Open,High,Low,Close,Adj Close,Volume
2018/10/25,6891.27002,7063.919922,6866.75,7016.390137,7016.390137,2741810000
2018/10/24,7101.850098,7117.339844,6777.470215,6789.149902,6789.149902,2930550000
2018/10/23,7002.689941,7149.129883,6933.560059,7118.669922,7118.669922,2735820000
2018/10/22,7146.029785,7193.720215,7088.899902,7141.209961,7141.209961,2282400000
2018/10/19,7169.450195,7227.959961,7080.740234,7107.22998,7107.22998,2532220000
2018/10/18,7250.919922,7251.540039,7081.890137,7116.089844,7116.089844,2545950000
2018/10/17,7310,7311.850098,7205.759766,7278.629883,7278.629883,2364720000
2018/10/16,7141.669922,7291.259766,7133.290039,7276.430176,7276.430176,2623300000
2018/10/15,7129.310059,7144.160156,7047.470215,7068.669922,7068.669922,2148850000
2018/10/12,7150.209961,7179.040039,7019.890137,7157.209961,7157.209961,2650290000
2018/10/11,7013.47998,7120.100098,6892.890137,6964.029785,6964.029785,3129290000
2018/10/10,7319.810059,7329.240234,7042.060059,7044.5,7044.5,3077330000
2018/10/9,7352.439941,7430.359863,7339.859863,7371.620117,7371.620117,2459040000
2018/10/8,7356.540039,7415.540039,7267.02002,7352.819824,7352.819824,2239640000
2018/10/5,7482.040039,7510.450195,7327.439941,7399.009766,7399.009766,2672900000
2018/10/4,7603.009766,7608.240234,7436.259766,7490,7490,3274550000
2018/10/3,7663.089844,7676.899902,7625.600098,7637.430176,7637.430176,3047330000
2018/10/2,7632.370117,7685.359863,7610.25,7628.279785,7628.279785,2391370000
2018/10/1,7673,7700.560059,7627.470215,7645.450195,7645.450195,2283230000
2018/9/28,7612.649902,7649.299805,7598.689941,7627.649902,7627.649902,2323940000
2018/9/27,7600.350098,7657.799805,7596.959961,7629.569824,7629.569824,2053770000
2018/9/26,7563.959961,7637.620117,7553.259766,7563.089844,7563.089844,2290730000
2018/9/25,7552.02002,7568.169922,7525.189941,7563.189941,7563.189941,2288140000
2018/9/24,7477.450195,7554.950195,7447.22998,7548.75,7548.75,2416380000
2018/9/21,7587.390137,7603.859863,7522.120117,7531.069824,7531.069824,3706820000
2018/9/20,7534.02002,7582.430176,7523.870117,7569.029785,7569.029785,2287150000
2018/9/19,7498.240234,7513.339844,7441.560059,7490.319824,7490.319824,2156730000
2018/9/18,7440.859863,7531.200195,7436.529785,7494.399902,7494.399902,2317990000
2018/9/17,7522.589844,7533.919922,7427.790039,7434.72998,7434.72998,2284140000
2018/9/14,7575.379883,7581.299805,7515.040039,7545.5,7545.5,2030720000
2018/9/13,7535.22998,7578.759766,7531.660156,7561.689941,7561.689941,2318720000
